,Sentences
357,"However, the aim is to see complete nature as different aspects of one set of phenomena."
358,"That is the problem in basic theoretical physics, today—to find the laws behind experiment; to amalgamate these classes."
359,"Historically, we have always been able to amalgamate them, but as time goes on new things are found."
360,"We were amalgamating very well, when all of a sudden x-rays were found."
361,"Then we amalgamated some more, and mesons were found."
362,"Therefore, at any stage of the game, it always looks rather messy."
363,"A great deal is amalgamated, but there are always many wires or threads hanging out in all directions."
364,"That is the situation today, which we shall try to describe."
365,Some historic examples of amalgamation are the following.
366,"First, take heat and mechanics."
367,"When atoms are in motion, the more motion, the more heat the system contains, and so heat and all temperature effects can be represented by the laws of mechanics."
